Datetime;Consumption;FeedIn;Production;Purchased;SelfConsumption
2024-05-02 00:45:00+02:00;386,3142;0;305,39838;80,91584;305,39838
2024-05-02 01:00:00+02:00;329,56008;0;0;329,56008;0
2024-05-02 01:15:00+02:00;317,10314;18,615254;200,75584;134,96256;182,1406
2024-05-02 01:30:00+02:00;388,60242;0;294,85308;93,74934;294,85308
2024-05-02 01:45:00+02:00;209,979492;7,0030932;133,99272;82,989868;126,989632
2024-05-02 02:00:00+02:00;129,819412;26,228266;156,04768;0;129,819412
2024-05-02 02:15:00+02:00;135,93728;26,59136;162,52864;0;135,93728
2024-05-02 02:30:00+02:00;132,44094;19,430826;91,46109;60,410672;72,030266
2024-05-02 02:45:00+02:00;133,60466;28,658346;162,263;0;133,60466
2024-05-02 03:00:00+02:00;137,33952;17,74144;95,16458;59,916378;77,42314
2024-05-02 03:15:00+02:00;131,304352;19,300906;90,53592;60,069336;71,235016
2024-05-02 03:30:00+02:00;162,13622;16,807466;158,616;20,32768;141,80854
2024-05-02 03:45:00+02:00;217,93219;0;158,28356;59,64864;158,28356
2024-05-02 04:00:00+02:00;214,197708;0;155,1624;59,035308;155,1624
2024-05-02 04:15:00+02:00;212,28152;0;154,77988;57,501656;154,77988
2024-05-02 04:30:00+02:00;210,388488;0;151,34806;59,040428;151,34806
2024-05-02 04:45:00+02:00;225,83414;11,5436792;198,28172;39,096108;186,73804
2024-05-02 05:00:00+02:00;225,68096;0;178,51914;47,161816;178,51914
2024-05-02 05:15:00+02:00;261,26896;0;207,84282;53,426136;207,84282
2024-05-02 05:30:00+02:00;263,36362;0;220,6304;42,733226;220,6304
2024-05-02 05:45:00+02:00;292,30084;0;235,2858;57,01504;235,2858
2024-05-02 06:00:00+02:00;256,5526;15,083946;200,64454;70,992004;185,560608
2024-05-02 06:15:00+02:00;126,15332;19,58656;87,818596;57,921284;68,23204
2024-05-02 06:30:00+02:00;127,71621;34,117546;161,83376;0;127,71621
2024-05-02 06:45:00+02:00;112,4458;0;28,461376;83,984428;28,461376
2024-05-02 07:00:00+02:00;172,91956;68,197548;79,687332;161,42976;11,489784
